Anfangschulden: 20000.00  Zinssatz nominal: 5.00

Zahlmonat    Rate  Zinsen Tilgung       Rest
  1.2015   500.00   83.33  416.67   19583.33
  2.2015   500.00   81.60  418.40   19164.93
  3.2015   500.00   79.85  420.15   18744.78
  4.2015   500.00   78.10  421.90   18322.88
  5.2015   500.00   76.35  423.65   17899.23
  6.2015   500.00   74.58  425.42   17473.81
  7.2015   500.00   72.81  427.19   17046.62
  8.2015   500.00   71.03  428.97   16617.65
  9.2015   500.00   69.24  430.76   16186.89
 10.2015   500.00   67.45  432.55   15754.34
 11.2015   500.00   65.64  434.36   15319.98
 12.2015   500.00   63.83  436.17   14883.81
  1.2016   500.00   62.02  437.98   14445.83
  2.2016   500.00   60.19  439.81   14006.02
  3.2016   500.00   58.36  441.64   13564.38
  4.2016   500.00   56.52  443.48   13120.90
  5.2016   500.00   54.67  445.33   12675.57
  6.2016   500.00   52.81  447.19   12228.38
  7.2016   500.00   50.95  449.05   11779.33
  8.2016   500.00   49.08  450.92   11328.41
  9.2016   500.00   47.20  452.80   10875.61
 10.2016   500.00   45.32  454.68   10420.93
 11.2016   500.00   43.42  456.58    9964.35
 12.2016   500.00   41.52  458.48    9505.87
  1.2017   500.00   39.61  460.39    9045.48
  2.2017   500.00   37.69  462.31    8583.17
  3.2017   500.00   35.76  464.24    8118.93
  4.2017   500.00   33.83  466.17    7652.76
  5.2017   500.00   31.89  468.11    7184.65
  6.2017   500.00   29.94  470.06    6714.59
  7.2017   500.00   27.98  472.02    6242.57
  8.2017   500.00   26.01  473.99    5768.58
  9.2017   500.00   24.04  475.96    5292.62
 10.2017   500.00   22.05  477.95    4814.67
 11.2017   500.00   20.06  479.94    4334.73
 12.2017   500.00   18.06  481.94    3852.79
  1.2018   500.00   16.05  483.95    3368.84
  2.2018   500.00   14.04  485.96    2882.88
  3.2018   500.00   12.01  487.99    2394.89
  4.2018   500.00    9.98  490.02    1904.87
  5.2018   500.00    7.94  492.06    1412.81
  6.2018   500.00    5.89  494.11     918.70
  7.2018   500.00    3.83  496.17     422.53
  8.2018   424.29    1.76  422.53       0.00
